question_number,question_text,domain,accuracy_pct,n_correct,n_incorrect,n_unattempted,n_total
1,¿Cuánto mide la resistencia equivalente de dos resistores de 100 Ω conectados en serie?,resistor,72%,18,6,1,25
2,Dos resistores de 100 Ω conectados en paralelo. ¿Cuál es su resistencia equivalente?,resistor,84%,21,4,0,25
3,¿Cuál es la fórmula para calcular resistores en paralelo?,resistor,84%,21,4,0,25
4,Un resistor de 100 Ω y uno de 200 Ω conectados en serie. ¿Resistencia total?,resistor,88%,22,3,0,25
5,Un resistor de 100 Ω y uno de 200 Ω conectados en paralelo. ¿Resistencia total?,resistor,24%,6,16,3,25
6,Dos capacitores de 10 µF conectados en serie. ¿Capacitancia equivalente?,capacitor,64%,16,8,1,25
7,Dos capacitores de 10 µF conectados en paraleo. ¿Capacitancia equivalente?,capacitor,84%,21,4,0,25
8,"En capacitores, la combinación en serie produce una capacitancia…",capacitor,52%,13,11,1,25
9,"En la protoboard, los orificios A–E de la misma fila están…",breadboard,68%,17,6,2,25
10,¿Qué separa la mitad izquierda de la mitad derecha de la protoboard?,breadboard,56%,14,11,0,25
